source.message,dataset,timestamp,$workers.truncated,$workers.event.request.url,$workers.event.request.method,$workers.event.request.path,$workers.outcome,$workers.scriptName,$workers.eventType,$workers.executionModel,$workers.scriptVersion.id,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now
"[route-metrics] {""windowMs"":120403,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":290,""maxMs"":290,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-02T23:17:56.733Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638cc398183cb5,01KN87TDVXY0QZAYS9T8FS8QSQ,9e638cc398183cb5,GET /api/app/bootstrap,mansion-deseo-api-production,"[route-metrics] {""windowMs"":120403,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":290,""maxMs"":290,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":120403,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":290,""maxMs"":290,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,cloudflare-workers,2026-04-02T23:17:56.443Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638cc398183cb5,01KN87TDJV7VDZC5KE4WNAZNKF,9e638cc398183cb5,GET /api/app/bootstrap,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,cloudflare-workers,2026-04-02T23:17:26.235Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,GET,/api/unread-count,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638c06fdfad7ef,01KN87SG2VNZFVAVQAEMEQMP7Z,9e638c06fdfad7ef,GET /api/unread-count,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/unread-count,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,cloudflare-workers,2026-04-02T23:17:26.229Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,GET,/api/profiles,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638c06edf5d7ef,01KN87SG2VNZFVAVQAEMEQMP81,9e638c06edf5d7ef,GET /api/profiles,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/profiles,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,cloudflare-workers,2026-04-02T23:17:26.223Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,GET,/api/visits,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638c06edf1d7ef,01KN87SG2VNZFVAVQAEMEQMP80,9e638c06edf1d7ef,GET /api/visits,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/visits,undefined,undefined,undefined
"[route-metrics] {""windowMs"":250252,""requestCount"":4,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":2,""avgMs"":308,""maxMs"":308,""statusCounts"":{""200"":2}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":323,""maxMs"":323,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":593,""maxMs"":593,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-02T23:17:24.701Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638bfb58a3d7ef,01KN87SEJXZJ5WGB5M3YA8JAAV,9e638bfb58a3d7ef,GET /api/app/bootstrap,mansion-deseo-api-production,"[route-metrics] {""windowMs"":250252,""requestCount"":4,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":2,""avgMs"":308,""maxMs"":308,""statusCounts"":{""200"":2}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":323,""maxMs"":323,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":593,""maxMs"":593,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":250252,""requestCount"":4,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":2,""avgMs"":308,""maxMs"":308,""statusCounts"":{""200"":2}},{""method"":""GET"",""route"":""/api/visits"",""count"":1,""avgMs"":323,""maxMs"":323,""statusCounts"":{""200"":1}},{""method"":""GET"",""route"":""/api/profiles"",""count"":1,""avgMs"":593,""maxMs"":593,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,cloudflare-workers,2026-04-02T23:17:24.394Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e638bfb58a3d7ef,01KN87SE9ARQA8GE7H5EPG3AG6,9e638bfb58a3d7ef,GET /api/app/bootstrap,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,undefined,undefined,undefined
"[route-metrics] {""windowMs"":161877,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":752,""maxMs"":752,""statusCounts"":{""200"":1}}]}",cloudflare-workers,2026-04-02T23:15:56.330Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6389d03cf06ccb,01KN87PR9ADTDCDNBY1J2DCZEC,9e6389d03cf06ccb,GET /api/app/bootstrap,mansion-deseo-api-production,"[route-metrics] {""windowMs"":161877,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":752,""maxMs"":752,""statusCounts"":{""200"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":161877,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/app/bootstrap"",""count"":1,""avgMs"":752,""maxMs"":752,""statusCounts"":{""200"":1}}]}",undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,cloudflare-workers,2026-04-02T23:15:55.578Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6389d03cf06ccb,01KN87PQHTTW6B5WNN43023ZCM,9e6389d03cf06ccb,GET /api/app/bootstrap,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,undefined,undefined,undefined
websocket:message,cloudflare-workers,2026-04-02T23:14:55.922Z,false,,,,ok,mansion-deseo-api-production,websocket,durableObject,85ef149b-3cc8-40c2-bcef-c52918c758d5,GQIL0SK5TBRIIEA1,01KN87VEJDF7BACTPZJY8V0PZK,GQIL0SK5TBRIIEA1,mansion-deseo-api-production,mansion-deseo-api-production,websocket:message,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,websocket,websocket:message,undefined,undefined,undefined
GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,cloudflare-workers,2026-04-02T23:13:55.164Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,GET,/api/app/bootstrap,ok,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6386dfaef990c1,01KN87K1YW80EP47Z6EMMD58E4,9e6386dfaef990c1,GET /api/app/bootstrap,mansion-deseo-api-production,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,f251d9341172cd4fa210cc7a0308adc6,cf-worker-event,b736bad4064d7d407ec5325526018f20,fetch,GET https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/app/bootstrap,undefined,undefined,undefined
"[route-metrics] {""windowMs"":79459,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/notifications/ws"",""count"":1,""avgMs"":136,""maxMs"":136,""statusCounts"":{""101"":1}}]}",cloudflare-workers,2026-04-02T23:13:14.453Z,false,https://mansion-deseo-api-production.green-silence-8594.workers.dev/api/notifications/ws?token=REDACTED.REDACTED.REDACTED,GET,/api/notifications/ws,canceled,mansion-deseo-api-production,fetch,stateless,85ef149b-3cc8-40c2-bcef-c52918c758d5,9e6385e0099314a0,01KN87SFNECYQVVATP0CASQV95,9e6385e0099314a0,GET /api/notifications/ws,mansion-deseo-api-production,"[route-metrics] {""windowMs"":79459,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/notifications/ws"",""count"":1,""avgMs"":136,""maxMs"":136,""statusCounts"":{""101"":1}}]}",f251d9341172cd4fa210cc7a0308adc6,cf-worker,b736bad4064d7d407ec5325526018f20,fetch,"[route-metrics] {""windowMs"":79459,""requestCount"":1,""routes"":[{""method"":""GET"",""route"":""/api/notifications/ws"",""count"":1,""avgMs"":136,""maxMs"":136,""statusCounts"":{""101"":1}}]}",undefined,undefined,undefined
